policy,episodes,success_rate,fail_nan_rate,timeout_rate,mean_return,std_return,mean_steps,mean_action_norm,mean_jerk_norm,ever_grasped_rate,min_dist_tcp_apple,min_dist_apple_bowl
rls_pseudo_jacobian,10,0.0,0.0,1.0,0.45966584431007507,0.06666279203916292,300.0,0.0,0.0,0.0,,0.40002353489398956
directional_name_mapped,10,0.0,0.0,1.0,0.45925633776932956,0.066015136710098,300.0,0.0,0.0,0.0,,0.40002353489398956
stand_only,10,0.0,0.0,1.0,0.45832571797072885,0.06630751607611218,300.0,0.0,0.0,0.0,,0.40002353489398956
random_smooth,10,0.0,0.0,1.0,0.32096146569565465,0.12244079649257869,300.0,0.23771496127545833,0.14895258543392023,0.0,,0.40002353489398956
random,10,0.0,0.0,1.0,0.09395121315194296,0.1532674634031061,300.0,0.6998561974366506,0.9878428491950035,0.0,,0.40002353489398956
naive_arm_extend,10,0.0,0.0,1.0,0.08961812224867174,0.022800340381813288,300.0,0.05000000445793072,0.00016666668156782786,0.0,,0.40002353489398956
