timestamp,apple_obs_dim,apple_act_dim,dishwipe_obs_dim,dishwipe_act_dim
2026-03-02T12:46:08.524675,94,37,192,37
2026-03-02T13:03:17.674848,94,37,192,37
2026-03-02T13:18:17.585843,94,37,192,37
2026-03-02T13:43:27.057731,94,37,192,37
