method,mean_reward,std_reward,success_rate,fall_rate,mean_jerk,mean_steps
Stand-Only,0.3006224683194887,0.049739065489769634,0.0,0.0,0.0,200.0
BaseController,0.29166534144605977,0.05027568955604496,0.0,0.0,0.0008809938516797205,200.0
Heuristic (Reach),0.2859415308979806,0.05161759718628644,0.0,0.0,0.016629523714200914,200.0
Smoothed Random,-0.05681349531407705,0.21130886870173637,0.0,0.0,24.65704338309701,200.0
Random,-4.2567418434889985,0.194350437445947,0.0,0.0,24.622530643855182,200.0
